sort_stream Taille_M: 1990, nbthreads: 1024, numblocks: 65535, Temps: 886.85754, verif: -1
sort_stream Taille_M: 2000, nbthreads: 1024, numblocks: 65535, Temps: 883.24493, verif: -1
sort_stream Taille_M: 2010, nbthreads: 1024, numblocks: 65535, Temps: 883.04492, verif: -1
sort_stream Taille_M: 2020, nbthreads: 1024, numblocks: 65535, Temps: 899.91638, verif: -1
sort_stream Taille_M: 2030, nbthreads: 1024, numblocks: 65535, Temps: 896.07550, verif: -1
sort_stream Taille_M: 2040, nbthreads: 1024, numblocks: 65535, Temps: 899.26135, verif: -1
sort_stream Taille_M: 2050, nbthreads: 1024, numblocks: 65535, Temps: 906.96844, verif: -1
sort_stream Taille_M: 2060, nbthreads: 1024, numblocks: 65535, Temps: 904.39484, verif: -1
sort_stream Taille_M: 2070, nbthreads: 1024, numblocks: 65535, Temps: 908.44965, verif: -1
sort_stream Taille_M: 2080, nbthreads: 1024, numblocks: 65535, Temps: 915.94281, verif: -1
sort_stream Taille_M: 2090, nbthreads: 1024, numblocks: 65535, Temps: 919.01532, verif: -1
sort_stream Taille_M: 2100, nbthreads: 1024, numblocks: 65535, Temps: 911.42938, verif: -1
sort_stream Taille_M: 2110, nbthreads: 1024, numblocks: 65535, Temps: 920.37341, verif: -1
sort_stream Taille_M: 2120, nbthreads: 1024, numblocks: 65535, Temps: 928.01520, verif: -1
sort_stream Taille_M: 2130, nbthreads: 1024, numblocks: 65535, Temps: 946.45264, verif: -1
sort_stream Taille_M: 2140, nbthreads: 1024, numblocks: 65535, Temps: 935.51044, verif: -1
sort_stream Taille_M: 2150, nbthreads: 1024, numblocks: 65535, Temps: 936.55621, verif: -1
sort_stream Taille_M: 2160, nbthreads: 1024, numblocks: 65535, Temps: 941.62170, verif: -1
sort_stream Taille_M: 2170, nbthreads: 1024, numblocks: 65535, Temps: 947.18073, verif: -1
sort_stream Taille_M: 2180, nbthreads: 1024, numblocks: 65535, Temps: 958.80743, verif: -1
sort_stream Taille_M: 2190, nbthreads: 1024, numblocks: 65535, Temps: 958.46735, verif: -1
sort_stream Taille_M: 2200, nbthreads: 1024, numblocks: 65535, Temps: 953.75073, verif: -1
sort_stream Taille_M: 2210, nbthreads: 1024, numblocks: 65535, Temps: 952.04718, verif: -1
sort_stream Taille_M: 2220, nbthreads: 1024, numblocks: 65535, Temps: 977.26666, verif: -1
sort_stream Taille_M: 2230, nbthreads: 1024, numblocks: 65535, Temps: 981.22675, verif: -1
sort_stream Taille_M: 2240, nbthreads: 1024, numblocks: 65535, Temps: 1055.65527, verif: -1
sort_stream Taille_M: 2250, nbthreads: 1024, numblocks: 65535, Temps: 975.28906, verif: -1
sort_stream Taille_M: 2260, nbthreads: 1024, numblocks: 65535, Temps: 975.37244, verif: -1
