sort Taille_M: 1890, nbthreads: 1024, numblocks: 65535, Temps: 880.21857, verif: -1
sort Taille_M: 1900, nbthreads: 1024, numblocks: 65535, Temps: 969.40692, verif: -1
sort Taille_M: 1910, nbthreads: 1024, numblocks: 65535, Temps: 888.00140, verif: -1
sort Taille_M: 1920, nbthreads: 1024, numblocks: 65535, Temps: 970.72766, verif: -1
sort Taille_M: 1930, nbthreads: 1024, numblocks: 65535, Temps: 894.25159, verif: -1
sort Taille_M: 1940, nbthreads: 1024, numblocks: 65535, Temps: 971.00641, verif: -1
sort Taille_M: 1950, nbthreads: 1024, numblocks: 65535, Temps: 994.96283, verif: -1
sort Taille_M: 1960, nbthreads: 1024, numblocks: 65535, Temps: 1008.97009, verif: -1
sort Taille_M: 1970, nbthreads: 1024, numblocks: 65535, Temps: 1015.13184, verif: -1
sort Taille_M: 1980, nbthreads: 1024, numblocks: 65535, Temps: 1008.33911, verif: -1
sort Taille_M: 1990, nbthreads: 1024, numblocks: 65535, Temps: 1023.47559, verif: -1
sort Taille_M: 2000, nbthreads: 1024, numblocks: 65535, Temps: 1011.57629, verif: -1
sort Taille_M: 2010, nbthreads: 1024, numblocks: 65535, Temps: 921.76917, verif: -1
sort Taille_M: 2020, nbthreads: 1024, numblocks: 65535, Temps: 1013.42859, verif: -1
sort Taille_M: 2030, nbthreads: 1024, numblocks: 65535, Temps: 997.89362, verif: -1
sort Taille_M: 2040, nbthreads: 1024, numblocks: 65535, Temps: 929.42468, verif: -1
sort Taille_M: 2050, nbthreads: 1024, numblocks: 65535, Temps: 935.08112, verif: -1
sort Taille_M: 2060, nbthreads: 1024, numblocks: 65535, Temps: 942.69360, verif: -1
sort Taille_M: 2070, nbthreads: 1024, numblocks: 65535, Temps: 1003.44580, verif: -1
sort Taille_M: 2080, nbthreads: 1024, numblocks: 65535, Temps: 948.00433, verif: -1
sort Taille_M: 2090, nbthreads: 1024, numblocks: 65535, Temps: 1038.73206, verif: -1
sort Taille_M: 2100, nbthreads: 1024, numblocks: 65535, Temps: 1022.77673, verif: -1
sort Taille_M: 2110, nbthreads: 1024, numblocks: 65535, Temps: 1039.42139, verif: -1
sort Taille_M: 2120, nbthreads: 1024, numblocks: 65535, Temps: 1049.98438, verif: -1
sort Taille_M: 2130, nbthreads: 1024, numblocks: 65535, Temps: 967.02625, verif: -1
sort Taille_M: 2140, nbthreads: 1024, numblocks: 65535, Temps: 1027.90503, verif: -1
sort Taille_M: 2150, nbthreads: 1024, numblocks: 65535, Temps: 1045.18018, verif: -1
sort Taille_M: 2160, nbthreads: 1024, numblocks: 65535, Temps: 1069.43555, verif: -1
sort Taille_M: 2170, nbthreads: 1024, numblocks: 65535, Temps: 1067.20581, verif: -1
sort Taille_M: 2180, nbthreads: 1024, numblocks: 65535, Temps: 1085.88989, verif: -1
sort Taille_M: 2190, nbthreads: 1024, numblocks: 65535, Temps: 1075.99646, verif: -1
sort Taille_M: 2200, nbthreads: 1024, numblocks: 65535, Temps: 1079.57642, verif: -1
sort Taille_M: 2210, nbthreads: 1024, numblocks: 65535, Temps: 1084.94006, verif: -1
sort Taille_M: 2220, nbthreads: 1024, numblocks: 65535, Temps: 1058.05127, verif: -1
sort Taille_M: 2230, nbthreads: 1024, numblocks: 65535, Temps: 1006.13660, verif: -1
sort Taille_M: 2240, nbthreads: 1024, numblocks: 65535, Temps: 1068.02429, verif: -1
sort Taille_M: 2250, nbthreads: 1024, numblocks: 65535, Temps: 1013.89948, verif: -1
sort Taille_M: 2260, nbthreads: 1024, numblocks: 65535, Temps: 1011.78418, verif: -1
sort Taille_M: 2270, nbthreads: 1024, numblocks: 65535, Temps: 1016.11633, verif: -1
sort Taille_M: 2280, nbthreads: 1024, numblocks: 65535, Temps: 1020.19354, verif: -1
sort Taille_M: 2290, nbthreads: 1024, numblocks: 65535, Temps: 1096.91589, verif: -1
sort Taille_M: 2300, nbthreads: 1024, numblocks: 65535, Temps: 1033.32349, verif: -1
sort Taille_M: 2310, nbthreads: 1024, numblocks: 65535, Temps: 1038.05005, verif: -1
sort Taille_M: 2320, nbthreads: 1024, numblocks: 65535, Temps: 1093.10791, verif: -1
sort Taille_M: 2330, nbthreads: 1024, numblocks: 65535, Temps: 1039.69934, verif: -1
sort Taille_M: 2340, nbthreads: 1024, numblocks: 65535, Temps: 1050.35486, verif: -1
sort Taille_M: 2350, nbthreads: 1024, numblocks: 65535, Temps: 1051.19336, verif: -1
sort Taille_M: 2360, nbthreads: 1024, numblocks: 65535, Temps: 1050.85095, verif: -1
sort Taille_M: 2370, nbthreads: 1024, numblocks: 65535, Temps: 1148.03320, verif: -1
sort Taille_M: 2380, nbthreads: 1024, numblocks: 65535, Temps: 1133.01819, verif: -1
sort Taille_M: 2390, nbthreads: 1024, numblocks: 65535, Temps: 1164.58105, verif: -1
sort Taille_M: 2400, nbthreads: 1024, numblocks: 65535, Temps: 1120.83752, verif: -1
sort Taille_M: 2410, nbthreads: 1024, numblocks: 65535, Temps: 1135.33569, verif: -1
sort Taille_M: 2420, nbthreads: 1024, numblocks: 65535, Temps: 1067.95825, verif: -1
sort Taille_M: 2430, nbthreads: 1024, numblocks: 65535, Temps: 1134.87659, verif: -1
sort Taille_M: 2440, nbthreads: 1024, numblocks: 65535, Temps: 1177.11438, verif: -1
sort Taille_M: 2450, nbthreads: 1024, numblocks: 65535, Temps: 1084.23767, verif: -1
sort Taille_M: 2460, nbthreads: 1024, numblocks: 65535, Temps: 1173.83838, verif: -1
sort Taille_M: 2470, nbthreads: 1024, numblocks: 65535, Temps: 1149.27612, verif: -1
sort Taille_M: 2480, nbthreads: 1024, numblocks: 65535, Temps: 1181.59216, verif: -1
sort Taille_M: 2490, nbthreads: 1024, numblocks: 65535, Temps: 1203.91382, verif: -1
sort Taille_M: 2500, nbthreads: 1024, numblocks: 65535, Temps: 1188.72253, verif: -1
sort Taille_M: 2510, nbthreads: 1024, numblocks: 65535, Temps: 1182.29944, verif: -1
sort Taille_M: 2520, nbthreads: 1024, numblocks: 65535, Temps: 1204.24207, verif: -1
sort Taille_M: 2530, nbthreads: 1024, numblocks: 65535, Temps: 1196.20532, verif: -1
sort Taille_M: 2540, nbthreads: 1024, numblocks: 65535, Temps: 1180.40784, verif: -1
sort Taille_M: 2550, nbthreads: 1024, numblocks: 65535, Temps: 1200.67188, verif: -1
sort Taille_M: 2560, nbthreads: 1024, numblocks: 65535, Temps: 1222.93848, verif: -1
sort Taille_M: 2570, nbthreads: 1024, numblocks: 65535, Temps: 1227.04883, verif: -1
sort Taille_M: 2580, nbthreads: 1024, numblocks: 65535, Temps: 1142.57825, verif: -1
sort Taille_M: 2590, nbthreads: 1024, numblocks: 65535, Temps: 1240.28394, verif: -1
sort Taille_M: 2600, nbthreads: 1024, numblocks: 65535, Temps: 1242.63330, verif: -1
sort Taille_M: 2610, nbthreads: 1024, numblocks: 65535, Temps: 1250.38696, verif: -1
sort Taille_M: 2620, nbthreads: 1024, numblocks: 65535, Temps: 1251.36890, verif: -1
sort Taille_M: 2630, nbthreads: 1024, numblocks: 65535, Temps: 1256.90039, verif: -1
sort Taille_M: 2640, nbthreads: 1024, numblocks: 65535, Temps: 1252.36438, verif: -1
sort Taille_M: 2650, nbthreads: 1024, numblocks: 65535, Temps: 1245.06213, verif: -1
sort Taille_M: 2660, nbthreads: 1024, numblocks: 65535, Temps: 1161.07629, verif: -1
sort Taille_M: 2670, nbthreads: 1024, numblocks: 65535, Temps: 1252.95728, verif: -1
sort Taille_M: 2680, nbthreads: 1024, numblocks: 65535, Temps: 1261.02966, verif: -1
sort Taille_M: 2690, nbthreads: 1024, numblocks: 65535, Temps: 1269.36597, verif: -1
sort Taille_M: 2700, nbthreads: 1024, numblocks: 65535, Temps: 1252.90308, verif: -1
sort Taille_M: 2710, nbthreads: 1024, numblocks: 65535, Temps: 1278.00256, verif: -1
sort Taille_M: 2720, nbthreads: 1024, numblocks: 65535, Temps: 1289.98145, verif: -1
sort Taille_M: 2730, nbthreads: 1024, numblocks: 65535, Temps: 1292.17688, verif: -1
sort Taille_M: 2740, nbthreads: 1024, numblocks: 65535, Temps: 1293.76721, verif: -1
sort Taille_M: 2750, nbthreads: 1024, numblocks: 65535, Temps: 1300.32288, verif: -1
sort Taille_M: 2760, nbthreads: 1024, numblocks: 65535, Temps: 1289.66016, verif: -1
sort Taille_M: 2770, nbthreads: 1024, numblocks: 65535, Temps: 1272.14685, verif: -1
